name,start,salary,target,debut
Brandon Paul,2016,724360.0,0.007694252,2013
Brandon Paul,2017,1096929.0,0.011069692,2014
Brandon Rush,2016,3500000.0,0.037177485,2008
Brandon Rush,2017,1064457.5,0.010742005,2008
Brandon Williams,2023,1801769.0,0.013446037,2021
Brian Bowen II,2021,1669178.0,0.014848489,2019
Brian Bowen II,2023,2019706.0,0.015072433,2019
Brian Roberts,2016,1050961.0,0.011163453,2012
Briante Weber,2016,800003.0,0.008497743,2015
Briante Weber,2017,1471382.0,0.014848496,2015
Briante Weber,2018,1567007.0,0.01538257,2015
Brodric Thomas,2022,1836090.0,0.01484849,2020
Brodric Thomas,2023,2019706.0,0.015072433,2020
Brook Lopez,2009,2352880.0,0.040656622,2008
Brook Lopez,2010,1613318.0,0.027794741999999997,2008
Brook Lopez,2012,8068496.25,0.1360801915,2008
Brook Lopez,2014,7833333.333333333,0.10741963733333333,2008
Brook Lopez,2015,21165675.0,0.257893118,2008
Brook Lopez,2016,5479189.5,0.056529488999999995,2008
Brook Lopez,2017,19000000.0,0.189090475,2008
Brook Lopez,2018,3382000.0,0.033199501,2008
Brook Lopez,2019,10247228.0,0.0931989875,2008
Brook Lopez,2020,5299709.8,0.0468791138,2008
Brook Lopez,2021,1860899.25,0.01655398125,2008
Brook Lopez,2022,8715000.0,0.0676486,2008
Brook Lopez,2023,9968765.666666666,0.07439377400000001,2008
Bruce Brown Jr.,2021,4736102.0,0.042130891,2018
Bruce Brown Jr.,2022,6640975.0,0.053705673,2018
Bruce Brown Jr.,2023,22500000.0,0.167910448,2018
Bruno Caboclo,2018,1402570.5,0.013768374,2014
Bruno Caboclo,2020,2028594.0,0.018587081,2014
Bruno Caboclo,2022,2463490.0,0.019922284,2014
Bruno Fernando,2022,2309762.0,0.0178648475,2019
Bryce Cotton,2015,357907.5,0.0051129645,2014
Bryn Forbes,2018,2256300.5,0.0221490395,2016
Bryn Forbes,2019,1090781.0,0.009994328,2016
Bryn Forbes,2020,2395574.0,0.021949551,2016
Bryn Forbes,2021,4500000.0,0.040030601,2016
Bryn Forbes,2022,2298385.0,0.018587077,2016
Buddy Boeheim,2023,1801769.0,0.013446037,2022
Buddy Hield,2020,23500000.0,0.204224108,2016
C.J. McCollum,2017,26658362.0,0.257899291,2013
C.J. McCollum,2021,33333333.0,0.282403306,2013
C.J. McCollum,2024,32000000.0,0.223776224,2013
C.J. Miles,2007,770610.0,0.013852418,2005
C.J. Miles,2008,3700000.0,0.063638031,2005
C.J. Miles,2012,2225000.0,0.038332989,2005
C.J. Miles,2014,4488838.0,0.059269542,2005
C.J. Miles,2017,8333333.0,0.082934415,2005
C.J. Miles,2021,15182.0,0.000135054,2005
C.J. Watson,2015,5000000.0,0.060922488,2007
