name,debut,start,end,salary,birth
Brian Bowen II,2019,2023,2023,2019706,1998
Brian Bowen II,2019,2021,2021,1669178,1998
Brian Roberts,2012,2016,2016,1050961,1985
Briante Weber,2015,2018,2018,1567007,1992
Briante Weber,2015,2017,2017,8313,1992
Briante Weber,2015,2017,2017,1471382,1992
Briante Weber,2015,2016,2017,800003,1992
Briante Weber,2015,2016,2016,5145,1992
Brodric Thomas,2020,2022,2022,1836090,1
Brodric Thomas,2020,2023,2023,2019706,1
Brook Lopez,2008,2023,2024,24000000,1988
Brook Lopez,2008,2019,2022,13000000,1988
Brook Lopez,2008,2018,2018,3382000,1988
Brook Lopez,2008,2015,2017,21165675,1988
Brook Lopez,2008,2012,2014,15206485,1988
Brook Lopez,2008,2023,2023,2709849,1996
Brook Lopez,2008,2020,2023,15000000,1996
Brook Lopez,2008,2016,2019,1958379,1996
Brook Lopez,2008,2023,2023,3196448,1990
Brook Lopez,2008,2020,2022,9720900,1990
Brook Lopez,2008,2019,2019,898310,1998
Brook Lopez,2008,2021,2022,4000000,1986
Brook Lopez,2008,2019,2021,9590602,1986
Brook Lopez,2008,2017,2019,19000000,1986
Brook Lopez,2008,2012,2016,8000000,1986
Brook Lopez,2008,2021,2021,1489065,1995
Brook Lopez,2008,2020,2021,771296,1995
Brook Lopez,2008,2019,2022,17500000,1989
Brook Lopez,2008,2014,2018,14000000,1989
Brook Lopez,2008,2010,2013,1853889,1989
Brook Lopez,2008,2021,2021,15182,1987
Brook Lopez,2008,2012,2014,6000000,1989
Brook Lopez,2008,2022,2024,8715000,1992
Brook Lopez,2008,2021,2021,1939350,1992
Brook Lopez,2008,2020,2021,994455,1992
Brook Lopez,2008,2020,2020,11898,1992
Brook Lopez,2008,2014,2015,6500000,1987
Brook Lopez,2008,2010,2013,1372747,1987
Brook Lopez,2008,2016,2018,9000000,1988
Brook Lopez,2008,2014,2015,3000000,1988
Brook Lopez,2008,2012,2013,3067500,1988
Brook Lopez,2008,2009,2011,2352880,1988
Bruce Brown Jr.,2018,2021,2021,4736102,1996
Bruce Brown Jr.,2018,2022,2023,6640975,1996
Bruce Brown Jr.,2018,2023,2024,22500000,1996
Bruno Caboclo,2014,2022,2022,2463490,1995
Bruno Caboclo,2014,2020,2020,2028594,1995
Bruno Caboclo,2014,2018,2019,1183726,1995
Bruno Caboclo,2014,2018,2018,9161,1995
Bruno Caboclo,2014,2018,2018,1621415,1995
Bruno Fernando,2019,2022,2025,2717391,1998
Bruno Fernando,2019,2022,2022,1902133,1998
Bryce Cotton,2014,2015,2015,700902,1992
Bryce Cotton,2014,2015,2015,4971,1992
Bryce Cotton,2014,2015,2015,14913,1992
Bryn Forbes,2016,2022,2022,2298385,1993
Bryn Forbes,2016,2021,2021,4500000,1993
Bryn Forbes,2016,2020,2021,2395574,1993
Bryn Forbes,2016,2018,2019,3000000,1993
Bryn Forbes,2016,2019,2019,1090781,1992
Bryn Forbes,2016,2018,2018,8546,1992
Bryn Forbes,2016,2018,2018,1512601,1992
Buddy Boeheim,2022,2023,2023,1801769,1999
Buddy Hield,2016,2020,2023,23500000,1992
C.J. McCollum,2013,2017,2020,26658362,1991
C.J. McCollum,2013,2021,2023,33333333,1991
C.J. McCollum,2013,2024,2025,32000000,1991
C.J. Miles,2005,2021,2021,15182,1987
C.J. Miles,2005,2017,2019,8333333,1987
C.J. Miles,2005,2014,2017,4488838,1987
C.J. Miles,2005,2012,2013,2225000,1987
C.J. Miles,2005,2008,2011,3700000,1987
C.J. Miles,2005,2007,2007,770610,1987
C.J. Watson,2007,2015,2017,5000000,1984
C.J. Wilcox,2014,2017,2017,50000,1990
C.J. Wilcox,2014,2019,2019,1678854,1990
