name,start,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,debut,end,salary,birth,target,Pos,G,Pos_PG,Pos_SG,Pos_SF,Pos_PF,Pos_C,contract_period,Annual
Rodney Hood,2020,36.98181818,26.69636364,4.072727273,9.165454545,0.444636364,1.247272727,3.307272727,0.373272727,2.854545455,5.858181818,0.484509091,0.512545455,1.78,2.052727273,0.865218182,0.352727273,1.969090909,2.352727273,1.734545455,0.8,0.189090909,0.796363636,2.030909091,11.18545455,2014,2021,10449348.0,1992,0.095742606,SG,128.3454545,True,False,False,False,False,2,7
Rodney Hood,2021,6.916030534,19.09694656,2.077862596,5.279389313,0.38459542,0.792366412,2.285496183,0.332076335,1.330534351,3.035877863,0.424694656,0.456083969,0.503053435,0.622137405,0.82380916,0.432061069,1.711450381,2.127480916,1.060305343,0.467175573,0.129007633,0.709160306,1.479389313,5.522137404,2014,2021,2239544.0,1992,0.019922287,SF,95.73282443,False,True,False,False,False,1,8
Rodney McGruder,2019,35.78571429,22.02142857,2.628571429,6.378571429,0.422285714,1.114285714,3.078571429,0.367714286,1.514285714,3.278571429,0.474428571,0.511928571,0.671428571,0.95,0.674428571,0.835714286,2.378571429,3.214285714,1.528571429,0.478571429,0.2,0.828571429,1.592857143,7.064285714,2013,2021,5000000.0,1991,0.045812718,SG,55.71428571,False,True,False,False,False,3,7
Rodney McGruder,2021,3.555555556,14.82222222,1.522222222,3.466666667,0.427111111,0.466666667,1.577777778,0.311777778,1.055555556,1.888888889,0.531555556,0.495777778,0.322222222,0.577777778,0.601444444,0.5,1.911111111,2.411111111,0.688888889,0.5,0.1,0.4,1.188888889,3.833333333,2013,2021,1939350.0,1991,0.017251855,SG,47.11111111,False,False,False,False,False,1,9
Rodney McGruder,2023,7.565217391,15.69043478,1.9,4.622608695,0.420417391,1.211304348,2.955652174,0.411469565,0.744347826,1.611304348,0.436991304,0.552313043,0.511304348,0.611304348,0.779417392,0.6,1.655652174,2.255652174,0.9,0.455652174,0.044347826,0.388695652,1.155652174,5.566956522,2013,2023,2709849.0,1991,0.020222754,SG,68.80869565,False,True,False,False,False,1,11
Rodney Stuckey,2011,60.63636364,32.73146853,5.71048951,13.53566434,0.421643357,0.297902098,1.197902098,0.25786014,5.361538462,12.33776224,0.437090909,0.433559441,4.393706294,5.144755245,0.849153846,0.948951049,2.508391608,3.457342657,4.995804196,1.253146853,0.151048951,2.2,2.653146853,16.06153846,2007,2013,8500000.0,1986,0.146440631,PG,71.53146853,True,False,False,False,False,3,5
Rodney Stuckey,2014,14.69127517,27.66912752,4.538926174,10.73087248,0.420697987,0.504026846,1.812080537,0.287791946,4.034899329,8.918791946,0.447348993,0.44642953,3.044966443,3.795973154,0.808966443,0.551006711,2.004026846,2.555033557,2.865100671,0.7,0.151006711,1.751006711,1.748993289,12.67583893,2007,2014,1227985.0,1986,0.019471736,SG,74.53020134,True,False,False,False,False,1,8
Rodney Stuckey,2015,20.28472222,26.55208333,4.902777778,11.15763889,0.437972222,0.546527778,1.594444444,0.3306875,4.35625,9.563194444,0.453520833,0.4633125,2.905555556,3.506944444,0.827618056,0.5,2.391666667,2.891666667,2.593055556,0.749305556,0.1,1.7,1.8,13.25902778,2007,2017,7000000.0,1986,0.085291484,SG,72.01388889,True,False,False,False,False,3,9
Romeo Langford,2023,12.45054945,17.73406593,2.228571428,4.945054945,0.451659341,0.516483517,1.606593406,0.29810989,1.712087912,3.338461539,0.521934066,0.505186813,0.695604396,1.089010989,0.623802198,0.941758242,1.469230769,2.484615385,0.78021978,0.542857143,0.317582418,0.506593407,1.268131868,5.645054945,2019,2023,2165000.0,1999,0.016156716,SG,116.3186813,True,False,False,False,False,1,5
Ron Baker,2017,13.0,16.5,1.6,4.2,0.378,0.4,1.7,0.267,1.1,2.5,0.45,0.431,0.5,0.8,0.651,0.2,1.7,1.9,2.1,0.7,0.2,1.1,1.4,4.1,2016,2018,4436200.0,1993,0.044768046,SG,52.0,True,False,False,False,False,2,2
